category_id,category_key,entity,expense_type,category_label,is_uncategorised,transaction_rows,transaction_value
651,6928b699bbc01646e322ade01e0a55fe1c721f65a07e1e4fcf3690e18df5f823,Bristol City Council,TPP - Sports Facilities,Bristol City Council — TPP - Sports Facilities,false,27,3683007.09
698,6f180286e6d1fab72a3e3de418be7b87c5211d6f51223009236b493f2dc1437a,Department for Transport,Software,Department for Transport — Software,false,22,2459722.12
713,714b66c0eee204f3dd8a54253b9e1bee11f2ebf53a9c2a2a753d0cc44a10fd7c,Department for Transport,Facilities Management Charges,Department for Transport — Facilities Management Charges,false,37,8755945.08
731,73dc430bfda0255c014eaf8b11bf5bd138443503c0bcc1326ea6080312de4dde,Department for Transport,RECRUITMENT ADVERTISEMENT,Department for Transport — RECRUITMENT ADVERTISEMENT,false,2,80820.07
796,7c1c33c183bcffda963573b12739eed5614808e2b9517b1150949d33ae65da9b,Manchester City Council,VAT Input Tax,Manchester City Council — VAT Input Tax,false,90,-543390.1
801,7ddea6cf5040582ba9504af67ad12fd3f1bef0ca994fd17e283708103e02d7bb,HM Revenue and Customs,Soft Licen Off Bespo,HM Revenue and Customs — Soft Licen Off Bespo,false,22,2861909.66
807,7f190a7d50467d3d5e1f79227d1e09de928c54d4c570fa5e6da5e87f7e8d76f3,HM Revenue and Customs,Laser printers,HM Revenue and Customs — Laser printers,false,6,268366.44
828,81d010820af0d75abc34ef59f02d2588075bd0380153d6d08c76140d33eb9a9a,Bristol City Council,Vehicle Maintenance - Accident Repairs,Bristol City Council — Vehicle Maintenance - Accident Repairs,false,119,219614.58
930,9263c4a4bfca3d4fcf00d80df771d1af76cbe46be1d6a4b700a035dd0ddad191,HM Revenue and Customs,Publications,HM Revenue and Customs — Publications,false,4,47782.02
960,993a506c073974fb9c7202fbbec5d238d5c9fa0f4871b725d3b6d64dd49b8466,Department for Transport,Payroll Contract,Department for Transport — Payroll Contract,false,4,180476.24
969,9b00ec2a2e292505fb1dc4c548cf6ae652451ed98023ae38b90a4d2118a483e1,Department for Transport,Computer Consumables,Department for Transport — Computer Consumables,false,1,41760
978,9c8d9b686ced96d5107aa76d20ee88c2a55a9f61b6961424716afc80f06db78c,Manchester City Council,Vehicle contract hire and leases,Manchester City Council — Vehicle contract hire and leases,false,1,625
1001,9fa5391e0d725d5c64b7558cb3b420cd8f93355b692c2e845b5e1e95896e250f,HM Revenue and Customs,Tablet computers,HM Revenue and Customs — Tablet computers,false,3,9999658.02
1023,a3ac762b06fcb604ce7e8a1f62f54eb696b89e1b594eb6643a9b34992548344f,City of York Council,Vending Machine Supplies,City of York Council — Vending Machine Supplies,false,1,353.83
1174,b9b434db3626863d663b20f6db531f23521daf553cd53dc57c340617b53e6aeb,City of York Council,Transport Allowances Repayment,City of York Council — Transport Allowances Repayment,false,85,64600.32
1194,bdb266db963a7fa06dbb231328cecf50b1ac59871d1c5313176156cbce4d1615,City of York Council,PRS,City of York Council — PRS,false,4,29904
1272,c89433642d5417ccc4e8922e8a0bde7e4cc72ab647614d92cdedde0ead2508f8,HM Revenue and Customs,Prop. Man. (Ir VAT),HM Revenue and Customs — Prop. Man. (Ir VAT),false,63,6050537.59
1301,cdafd1ece4adcafab4b253732cafbf3ad59d2343812860cba4656953e457dd41,Department for Transport,Hotel Accommodation,Department for Transport — Hotel Accommodation,false,4,931638.57
1461,e69fbe0681d629e2e7c190587fcbd4ef627ed8e6aa41fdad7873b115521725ec,HM Revenue and Customs,Data Purchases,HM Revenue and Customs — Data Purchases,false,3,342311.04
1508,ed28aeafc425b9cdb1721d4d0af30d482e9230e320d6727fe7934d6382236131,Manchester City Council,Foster Payments,Manchester City Council — Foster Payments,false,20481,33576524.47
1535,f20f8287c5b0539342e38f6de79ed0678e1ed0dbd3c4bfcd853df6d390460f1c,City of York Council,Staff Hospitality and Refreshments,City of York Council — Staff Hospitality and Refreshments,false,7,3877.83
1551,f41256594f497ab49e0ecb2cd021e14f920844151580475c5ab977e216750694,Department for Transport,Legal advice,Department for Transport — Legal advice,false,12,478222.92
1595,fa2049c1ca49c7a53b6e32ec513b1d2749d1a9c816e9933b9681956b8c355a66,City of York Council,Staff Bus Travel,City of York Council — Staff Bus Travel,false,8,3864.37
22,04b5e3d4501af1b8be2ec210b43202f4f0e3799f724ae1084c4d6ac24afcf22a,Department for Transport,MOTORCYCLE MAINTENANCE,Department for Transport — MOTORCYCLE MAINTENANCE,false,2,100507.61
111,1266d9148168246d9a177ffe48bfaba4260550a91ce91406941c35e5ef58ac6c,Department for Transport,Cleaning Contract - Buildings,Department for Transport — Cleaning Contract - Buildings,false,2,155412.84
117,134017a7b9a86be2d9e90b1ee4efb10437a213a96678ce0b38c2571a50b97cd0,Bristol City Council,Acquisition of Land,Bristol City Council — Acquisition of Land,false,3,248344
158,1b3727dcc9b19e2b176595d149ab83d894257de1be5af466969eabbb42ea376c,Manchester City Council,Printing,Manchester City Council — Printing,false,390,1250800.57
183,1eea2bdaa5e08e83262640d5a8036f174f940f31d99be0354fe60bb55ab0cb74,Bristol City Council,Internal Trading Charges - Accountancy,Bristol City Council — Internal Trading Charges - Accountancy,false,21,1050
187,1f4c5e34a64febc240e5cb38e5cc34856d8f330160c65c8d19a4f43a580761fb,Manchester City Council,Travel Season TLS,Manchester City Council — Travel Season TLS,false,92,96999.37
211,224afd177dbecab313ba1d70ffbc0e0a6bcaf9a9fe1474c2eeca761896dadede,Manchester City Council,Charges for Home Car,Manchester City Council — Charges for Home Car,false,5,-58645.97
238,27dfcabcb5f7fa55d5014050965a483d699c5599d808c8dc16bc22b6c0116488,Ministry of Justice,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES - LEGAL SERVICES - THIRD PARTY LEGAL COSTS,Ministry of Justice — EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES - LEGAL SERVICES - THIRD PARTY LEGAL COSTS,false,53,5364474.14
275,2d4f32a28c0ae264bff0b5110cce95bf96a13f296eafaed1b752dc4ccf15fb8a,Department for Transport,CP - Equipment Storage and Maintenance,Department for Transport — CP - Equipment Storage and Maintenance,false,16,662411.96
277,2d87a136d1e3ba058e4efcab49aed49d158412d7b085d3694601520876dcf94e,Ministry of Justice,"EXP - PURCHASE OF GOODS/SERVICES - OTHER - Judicial Books, Newspapers and Stationery","Ministry of Justice — EXP - PURCHASE OF GOODS/SERVICES - OTHER - Judicial Books, Newspapers and Stationery",false,35,8926235.78
291,2f8dffeaf040a985613d7af3616e74e7963a321a0acf43b672606c8997b8e4ce,Department for Transport,RM Cost Reimbursable,Department for Transport — RM Cost Reimbursable,false,672,49154718.03
320,334842cbabb8e0564dd213e47543f796cbdf9f9f06ca5300f04c75c3728f48ec,Department for Transport,Enterprise Telephony,Department for Transport — Enterprise Telephony,false,2,271916.4
455,495eaa900296cbeab515989f47192181734cbdf3ca8c20cf0868991be85dec97,Bristol City Council,TPP - Short Term support (Respite Care),Bristol City Council — TPP - Short Term support (Respite Care),false,4,9196.77
566,5adf4ca2a4e9404e4305091d5f92ee1484a6af50e55c26eff94074b521054d3a,Manchester City Council,Car Allowance Claims,Manchester City Council — Car Allowance Claims,false,44,285746.66
628,65f210afc251975e6e0ae7b0f5c9fd57ab1f922fc6dc063d524db98fabc22540,Department for Transport,Machinery Rental,Department for Transport — Machinery Rental,false,3,100184.54
631,6673b864edbe249790d460d7bf559c9b7bdb5024b4b361eacc97b3c0ecd9e857,Department for Transport,Other external training costs,Department for Transport — Other external training costs,false,50,2389908.79
653,69651b3a32b68c5b425769614dd0da94d774a28267eb11b232fc84849e9cb102,Manchester City Council,Construction Works,Manchester City Council — Construction Works,false,889,25308593.03
664,6a88f0dc6673cb3f1f3cb1c79781077a6d9544fa2b401029ed257d6cbb74f3bb,Manchester City Council,Bed & Breakfast Acc,Manchester City Council — Bed & Breakfast Acc,false,894,6194477.32
684,6c093d6676baa1ece43c620e2c7bc19623d17f43536361aa3a650de1e26b4f8e,HM Revenue and Customs,Desktop Managed Serv,HM Revenue and Customs — Desktop Managed Serv,false,18,5166636.21
741,753bdabc1e400d91bb165d15afa4e1795fea2d3587218b65eb2ec5b8ab7b4c21,Department for Transport,L & P Partner: staffing assistance,Department for Transport — L & P Partner: staffing assistance,false,12,911726.42
767,78c79b90b87dc3ec8243aa4466563cb710a88eea07125d19a533f58f2f3d81f8,Department for Transport,Improvement Works (Non Cap),Department for Transport — Improvement Works (Non Cap),false,12,3020911.26
858,87d17cdb97e1e14e60e694b0d22adc225c69b78c5004e31b577a48629181b1b2,City of York Council,Funeral Services,City of York Council — Funeral Services,false,58,98716.1
867,8877da0c5e615124f0ee6c9244a579dbce59ea42136be921d3a75aefce850d67,Manchester City Council,Fees,Manchester City Council — Fees,false,237,146642.57
915,8efe6711d50675cb9539f2fdd5f334d5c2158f7089b925062771dd242a3749c8,HM Revenue and Customs,Projects,HM Revenue and Customs — Projects,false,24,22703155.77
1042,a552d4f824f8bc0ec61ab9752f6ff72d95274966cf03c1ae37b5bca694af2be0,City of York Council,HRA Estate Improvements,City of York Council — HRA Estate Improvements,false,30,23431.46
1130,b43120ca579b8fd415b86ae5a0b777f6af08d9d0c21c6ead7d7e0b15c2d61b38,City of York Council,Operational Equipment,City of York Council — Operational Equipment,false,1952,2036432.25
1156,b7583a0d66011e26d80d455ff206bfd07119d0dacc3ac1eff1ccc1aaef9717bf,HM Revenue and Customs,Conferences,HM Revenue and Customs — Conferences,false,25,941513.24
1196,be190b781ba2c274f3c239930b0f5312cc21083d738ee39614ff16b66fd4067e,Bristol City Council,Vehicle Purchases,Bristol City Council — Vehicle Purchases,false,19,292038.33
1351,d57d8b169ac8154deff90a042b69b830e924b6a2476a3d4c07c15df400db6414,City of York Council,Capital Furniture & Fittings,City of York Council — Capital Furniture & Fittings,false,58,32016.79
1462,e6bf2cf09f0aba6346c3516356e694631672a45ecdae7a0673e1e6143fd908f9,HM Revenue and Customs,Travel Service Booking Fees,HM Revenue and Customs — Travel Service Booking Fees,false,7,11.28
50,0987987d5dce739482c56f5cd0e75771f73d6a08b4f8b74e718d3c72965a5408,Manchester City Council,Court Fees,Manchester City Council — Court Fees,false,82,770406.26
80,0da229bb03a8ae11448da1827e6b2097424ca9c285e2dd32288e949b62ad6379,Department for Transport,External training leading to qualifications,Department for Transport — External training leading to qualifications,false,3,219150.65
119,13c8b3373122ee3d04a17c1ce9905790e4999e0f16d573a4354d25c564e808bc,Department for Transport,EU Cap Grt NDPBs,Department for Transport — EU Cap Grt NDPBs,false,2,104450.97
152,1a16d2aa6fbd2f03f82d1ed9492ed845528b2e5bb5decb0bcc4fada1cb5cfc19,Department for Transport,PRINTING,Department for Transport — PRINTING,false,3,103544.42
214,2390546a9c5f0a69ee56be161b97416ac9d15aba7b2f1bb8f0ab6820f432c61d,City of York Council,Bailiffs,City of York Council — Bailiffs,false,90,16348.13
316,330fd9dd3a6c4946b26f1f9e6c115d2e58cd38e59d356c4012493044d4fe2231,Department for Transport,CG - Vehicles Maintain/Repair,Department for Transport — CG - Vehicles Maintain/Repair,false,18,928644.76
339,35baff01e54315eb5871b13eeeb85684e5bafc790ff5feae1318038a3475abd4,City of York Council,Gas Maintenance Contract,City of York Council — Gas Maintenance Contract,false,6,1903.82
391,3ef7982b422ef7d2e8cad2ea54cf02d23e7ce13a2a162331b0ed466a099cf1ed,HM Revenue and Customs,Computer accessories,HM Revenue and Customs — Computer accessories,false,5,184270.03
419,42fe0cd01a08e855786c8dab25b4c08a0959006151f9dc040cd46553fb35de78,Manchester City Council,Transport Taxis,Manchester City Council — Transport Taxis,false,104,893617.26
458,4a3622d3db5ed9a172b9a0589180b8f9ba07720d2e47ea2c5e335d45a93dfb54,Manchester City Council,Telecoms Maintenance,Manchester City Council — Telecoms Maintenance,false,3,8448.52
507,52588b05580b13a762ffeff1f4b6b81c70130dc6d1aa31f1f03da75f93560258,City of York Council,Housing Disturbance Allowances,City of York Council — Housing Disturbance Allowances,false,3,3813.93
528,54f415f8ef5449791fcbd89ec0dd9a0a894407b966a4aa83505a2e26ea4f6bf4,Department for Transport,Hire Of Premises,Department for Transport — Hire Of Premises,false,2,90204.86
571,5c1827ae7870b99a7d634ed550e29036ef95dded89181182c5532b3c2196c429,Manchester City Council,VPF&E Fees,Manchester City Council — VPF&E Fees,false,1,3220
580,5d7e8ccb0f74b24495a4980918766fcbb6037e865326bd91bcab1d3bf732bfc5,Department for Transport,Agency Memberships Subs.,Department for Transport — Agency Memberships Subs.,false,2,77357.73
609,62a84329deb676b7115fe756d972418e7bdc393b1c510f09938e0dd8d7b4702f,Department for Transport,Spoc Fib Intel Checks,Department for Transport — Spoc Fib Intel Checks,false,3,106540.34
688,6c7e5756e17874299347121fc3b6e569a04b976c0de9ef8e737e433b6e9c6585,Department for Transport,Publications & Printing,Department for Transport — Publications & Printing,false,1,27149.76
746,75ffe7c9e3a284206d01e240669632b3d519d7aefd07bda760d04c6bd18a0b82,City of York Council,IT Hardware Purchase,City of York Council — IT Hardware Purchase,false,148,1962121.36
753,7698951ae8d412a2d584f117bab1955bf069c56174c8e1fb6fcf5b58ddb77e63,Manchester City Council,Communications,Manchester City Council — Communications,false,3,4401.89
754,76a8cf280ebe541566d25e8d82380a55f0f4656280ec3aaf2eb00a8cae04d0a8,City of York Council,Decoration,City of York Council — Decoration,false,13,14674.06
770,7972ff53fc997841a86ab1aaec480a83aba9b8b587cfdc4c6f86fd6ad3510d4c,City of York Council,Fire Insurance Repairs,City of York Council — Fire Insurance Repairs,false,1,280
877,89cf09c03a222ab10871435548493cd4b69e6b6a549578eb63eff9604cd23529,Bristol City Council,TPP - Recycling Contract,Bristol City Council — TPP - Recycling Contract,false,1,592.5
895,8c081544cc3532c427651b1f1d0ba457fa2787fa9227d2c0f2fa67e8ea503cdf,Department for Transport,Insurance,Department for Transport — Insurance,false,2,92481.36
1052,a71317eca438cab682a90f5ef0bd131d5bb5ea19200cf1b00d782fee8d8f3140,City of York Council,Superannuation (APTC),City of York Council — Superannuation (APTC),false,8,23336.28
1061,a7e29bf568dffc6b8e0e2f3b72fa51ee3981bad942f2d0dd89ccc64464bbec51,City of York Council,Vehicle Running and Maintenance Costs,City of York Council — Vehicle Running and Maintenance Costs,false,33,65976.5
1067,a8f3b249688b0d30fb0d7529905155a6c33966b6ed8fb87a8e89586254a56405,Department for Transport,Navtex Support Services,Department for Transport — Navtex Support Services,false,14,1171647.61
1170,b947df9dc62b13515143426ab23ce47ff174d8c5ef2fb8e1d7c16d92a6d9c38d,Manchester City Council,Grounds Maintenance,Manchester City Council — Grounds Maintenance,false,204,904011.9
1222,c0ed357ca9fe5bd8ce95a2f8519ee77b4656a6d279ef1343eafdaf1d4b04f609,HM Revenue and Customs,FIS Specialist Opera,HM Revenue and Customs — FIS Specialist Opera,false,1,40176
1255,c62bee2f0cedcdb660983ffcaec1cd7708e92c5b7e897e136022126ba6f5540c,City of York Council,Concessionary Fares,City of York Council — Concessionary Fares,false,1,10007.9
1297,cd482aa11ec8468d75cc20b26e300a68da7ee5f43d29d91300434e1151b9c3d6,Bristol City Council,R&M - Departmental planned (external),Bristol City Council — R&M - Departmental planned (external),false,2292,6781788.37
1299,cd851b9736547d0ce88d020a5a80a4d68d9c13cfb71701ebdb4fb0beaa552429,HM Revenue and Customs,Project Development,HM Revenue and Customs — Project Development,false,148,75920160.52
1333,d28122628e9e2b0b6c0e560cfabc88fa9c42af96b921b1e9a4d809602332e94c,City of York Council,Tyres,City of York Council — Tyres,false,277,122399.64
1412,defc3b4947fca6e8fcb186b581814ebc5c609389a14e3184aee74f68b5a3536a,Department for Transport,Telephony,Department for Transport — Telephony,false,1,33280.2
1430,e29be260159b525834b60dc6e97e4db009695b4386bb20e0ba5dbde2d5349c55,HM Revenue and Customs,Contin Labor Build,HM Revenue and Customs — Contin Labor Build,false,177,77435382.48
1459,e640ccd809714fce460896d82528889145ce5dc748b58f56684c341da3f099b1,Department for Transport,Aviation Ancillary Costs,Department for Transport — Aviation Ancillary Costs,false,1,57155.04
1473,e7e33cd3e0c4a525ba1b22f96e7827319991552aa5bc2922a72c061058d83b74,Department for Transport,OTHER PROFESSIONAL FEE,Department for Transport — OTHER PROFESSIONAL FEE,false,5,797278.61
147,196e4317deb3ca65ee71eff653f7760272e02ead6edcd042513704b00f3769d6,Manchester City Council,"Consumable items eg Toilet rolls, soap etc","Manchester City Council — Consumable items eg Toilet rolls, soap etc",false,843,958772.71
150,19b0971db88d26701c26df5e3248019442d5918fc8bcc5b553a3b20f4b9c57df,City of York Council,Staff Advertising,City of York Council — Staff Advertising,false,55,38643.48
279,2dfd2b1f2f3d4c5b6b221f6164743193b41d13b5965a23ea605a581798ae7a7d,Department for Transport,Office Buiding Services Charge,Department for Transport — Office Buiding Services Charge,false,8,785076.24
338,35a80e5c8a69fb27bebf3fd21465317e3500b5dd32af11a1f5541170df10530e,City of York Council,Planning Fees,City of York Council — Planning Fees,false,4,3221
398,3feea670aded5169332e8412e0e43eb1e9d47abb8c3df81d42f5388205f02094,Manchester City Council,Engineering Ins,Manchester City Council — Engineering Ins,false,2,97499.99
408,418aeb716a6423bc5c8b5ed0e65458aa8e4773e746d229ec956a333eb3b5f629,Ministry of Justice,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES - Claims Management,Ministry of Justice — EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES - Claims Management,false,1,865129.38
421,431ebfffdaa735f986db4b77cbfa95f6cc90886dc774dec66b3781ca4fe67ec1,Department for Transport,Marketing & Communications Consultancy,Department for Transport — Marketing & Communications Consultancy,false,14,531407.18
428,44b5332554f94b7dc28ee4f287eaa62b4e5da1634a7c1743d7fbfad749d5ce1e,Ministry of Justice,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE - Printing,Ministry of Justice — EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE - Printing,false,3,474749.68
480,4e1cb0c6d5aaf9802d620b715b45bb64256663a71411b779641a76f8790c6767,Manchester City Council,New Share Capital,Manchester City Council — New Share Capital,false,1,6863
502,51b8da306f80da40680cc97402b8cf182406d1e6cb0f60dc97da5ff198384140,Department for Transport,CurrGrt LAs out AEF/,Department for Transport — CurrGrt LAs out AEF/,false,122,23158250.09
531,557fb95eaee616d9c45852d0728dfe251a6bfa0be96ebe7a3b89b4e6c4c9bce5,Bristol City Council,Solid Fuel,Bristol City Council — Solid Fuel,false,2,9998.7
582,5e1de4fd04b630e743b1c572cfc02f019b35e2c7b7ebd4d93f54f0d1f05f46c4,Department for Transport,Financial Consultanc,Department for Transport — Financial Consultanc,false,25,1945472.15
608,620cef056713af791b014ad8bc31b18118c023cce9fcfe37476fbb9e6b4af752,City of York Council,Quantity Surveying and CDM,City of York Council — Quantity Surveying and CDM,false,97,249795.78
638,676b53b1edad562ed7c4c61081942f6473daaba1dccb0ac8149a62e71f50a979,Department for Transport,TOCOpCosts(Pub),Department for Transport — TOCOpCosts(Pub),false,245,8972014025.84
659,69fba06d87056b6874f9df6ece5dafab3f8390c5ec1004acfc694d527bf33788,HM Revenue and Customs,License or Reg fee,HM Revenue and Customs — License or Reg fee,false,2,46068.48
667,6abce7286bfaa92cc70c9f289ebf3595a27cd278858b0336636d3a50c3584244,Bristol City Council,Bonds - Fairlawn Road - S38 Deposit,Bristol City Council — Bonds - Fairlawn Road - S38 Deposit,false,1,3140
745,759a3035f741a1047a59d1d2243856b53c57f7f3533df89582c8646d1ee640c4,Department for Transport,Storage & Distributi,Department for Transport — Storage & Distributi,false,4,323042.82
870,889e7897dd641be0e219f40e0bb246fa54c3a6072fd654ceec7f357e9857665d,Department for Transport,Comp H/Ware - Non FA,Department for Transport — Comp H/Ware - Non FA,false,3,251222.42
912,8e4cde275c9f424f173b31854bd8010e49066e29ec075f2a05cfa0be8fea6541,Bristol City Council,Furniture packs,Bristol City Council — Furniture packs,false,222,414880
926,90e6de9a52d1137d8ab8441c9fa3910c7e4d7a4159b76fc35cd79067f68128b5,City of York Council,North Yorkshire CC,City of York Council — North Yorkshire CC,false,50,14155616.4
968,9af088bb51e2217ef8f474c442f7f1ffabfd5f8497677d21b3e1af38da3ae1f8,Manchester City Council,Cont Oth Local Auth,Manchester City Council — Cont Oth Local Auth,false,2,10223.05
1002,9fc0dcb9b0e238cd60433391ed3b040b41e16a3e75c5369125c982240bfe4996,Bristol City Council,Heating Oil,Bristol City Council — Heating Oil,false,16,26867
1009,a148cf85af6759a14db58e8b808b655484e163b5d68159a8856c82941e8eb311,Department for Transport,CG - Rescue Equipment,Department for Transport — CG - Rescue Equipment,false,6,245677.6
