supplier_id,supplier_key,supplier_name,company_number,legal_name,company_status,incorporation_date,name_variant_count,is_resolved,unresolved_reason,match_tier,match_confidence,resolution_state,is_individual_withheld
27,0079e7845aa10ccb2e33e5d6a4578e3bc2b5c33a83bb094f48f70d0cc77c3271,GOVIA THAMESLINK RAILWAY LIMITED,07934306,GOVIA THAMESLINK RAILWAY LIMITED,Active,2012-02-02,1,true,,2,high,Resolved to Companies House,false
28,007bb644984d9c73fda5cf20df13664265b7ef101af863a3bc4903581feb995b,St Pauls Church,,,,,1,false,below_threshold,5,none,Unresolved,false
29,007dad57142678413389d55f72b2518861c6592bca8f0e40fe5ca671486be266,STREEVA LTD,09451226,STREEVA LTD,Active,2015-02-20,1,true,,2,high,Resolved to Companies House,false
30,008101db15b6e4072619b0da7dc961192e735f1b392e9d1884aa505ed8b770ce,OXFORD PROFESSIONAL EDUCATION GROUP LIMITED,03354327,OXFORD PROFESSIONAL EDUCATION GROUP LIMITED,Active,1997-04-17,1,true,,2,high,Resolved to Companies House,false
31,0082e692809bf741fde6da68f1e80301035d6a60ae42d6dc5f18e7193178dca7,OAK FURNITURELAND GROUP LIMITED,12645185,OAK FURNITURELAND GROUP LIMITED,Active,2020-06-04,1,true,,2,high,Resolved to Companies House,false
32,0083aa5af85a4adf8dc34cf847539e0f3eae508bfa7ead278f8873f237ed15eb,BROOK STREET UK LTD-2WM,,,,,1,false,below_threshold,5,none,Unresolved,false
33,0084fafac5fb0c10b4bcc71412174ac457a6377275a5da3d595f5ce9fb5a4ce6,Castlefield Gallery Limited,,,,,1,false,review,4,review,Awaiting review,false
34,008fdd12265376efcba381638dd86d16e2fdd56ffeaf389426c667823a805c70,WILLIAM BIRCH & SONS LIMITED,00129834,WILLIAM BIRCH & SONS LIMITED,Active,1913-06-28,1,true,,2,high,Resolved to Companies House,false
35,009016ba245be75279a4e1829c99c9456fe69a03f7cf3f5add4363e5febae317,PENNANT INTERNATIONAL LIMITED,00599464,PENNANT INTERNATIONAL LIMITED,Active,1958-02-25,1,true,,1,high,Resolved to Companies House,false
36,009b8d0567c985d319770deb4fa1577c7eefb2cd446e48a21102473f0f614e9d,SHINING CARE TRAINING LTD,12456830,SHINING CARE TRAINING LTD,Active,2020-02-11,1,true,,2,high,Resolved to Companies House,false
37,009c9946d96d53bc28a49d53cfdbde6664f6b98b3383466abde683e8c32164b6,Chorlton High School,,,,,1,false,below_threshold,5,none,Unresolved,false
38,00a1e94310ac2e4aaaf9484c0dd811888eef1232a2ef6b27f02b06efa9d6c2d5,The Commissioners of Northern,,,,,1,false,below_threshold,5,none,Unresolved,false
39,00a8dbde4b613d0e34b5854499a7de94e4e8a88648156ca0c608ea2c1a1a730d,Bootham Junior School,,,,,1,false,below_threshold,5,none,Unresolved,false
40,00a914c51ccd4dd36195daf53d810c55d4f0e6456b9c147ba793257f41a3eb51,BOSUN CARE LIMITED,10089370,BOSUN CARE LIMITED,Active,2016-03-29,1,true,,2,high,Resolved to Companies House,false
41,00b0940a0ad0ad09a25e85522925b2ef585f1791af3ef0c5dc0ad80d3e82c980,FRIENDS OF EASTVILLE PARK,CE029695,FRIENDS OF EASTVILLE PARK,Active,2022-07-13,1,true,,2,high,Resolved to Companies House,false
42,00b6ae104d2c5c50af727f05853ce57c508517d6764b6d6f6795e43ea4827585,SISK LAGAN JOINT VENTURE,,,,,1,false,below_threshold,5,none,Unresolved,false
43,00ba8759028a3cb554d31c7ae7a95b064678eef481c2035e2a863d5c6bc49399,AIM HABONIM,07220595,AIM HABONIM,Active,2010-04-12,1,true,,2,high,Resolved to Companies House,false
44,00bab99269304feef8d26d5df72ba2313b9956a1201aa506145bf4217db02809,LEWIS & CO,,,,,1,false,below_threshold,5,none,Unresolved,false
45,00bc802ec7625a3c95d1842bc9c4821000b2c8545f63c8dff833bf4026c95592,Manchester Art Gallery Trust,,,,,1,false,below_threshold,5,none,Unresolved,false
46,00bdb8ca5a308339632187261f4959413c6b7c94bbdd65471642446b87e6ddec,WHITEHEAD BUILDING SERVICES LIMITED,01394970,WHITEHEAD BUILDING SERVICES LIMITED,Active,1978-10-19,1,true,,2,high,Resolved to Companies House,false
47,00c07b5a8a8179af3587b4269388ed13f072e75eb493b9d0d1f3155f7af0e4f0,Toyota (GB) PLC,,,,,2,false,ambiguous,5,none,Unresolved,false
48,00c0a0dab21e2cbb30ffbd26fb1c771c4a83a9f9e2c201581b66dec6ce1b0e42,EDP JOINT VENTURE,,,,,1,false,below_threshold,5,none,Unresolved,false
49,00c0fcd65370c1efd2e02b374b650f49a686069135f2ef8629fd8a4ac5f9c346,Brook,,,,,1,false,below_threshold,5,none,Unresolved,false
50,00c1a2466f477e560bfb9520b77dc557947a7e422bcc3ccf787d445075c0ec6e,HCRG CARE LTD,05466033,HCRG CARE LTD,Active,2005-05-27,1,true,,2,high,Resolved to Companies House,false
51,00cac0f07d4f8b56b88f1834aeef358a4cf8d399822fd42395e07060e746954e,Symetri,,,,,1,false,review,4,review,Awaiting review,false
52,00db24f1f2e53a61dbf2a8c33d16b7dab8da7466cfca8720b2dd922b36ac2ca9,ASKEWS AND HOLTS LIBRARY SERVICES LTD.,02745298,ASKEWS AND HOLTS LIBRARY SERVICES LTD.,Active,1992-09-07,1,true,,2,high,Resolved to Companies House,false
53,00dcabb4ba6b57e701831347cdd585492fb61362f6e8359cf8959c877c57834f,SOCOTEC UK LIMITED,02880501,SOCOTEC UK LIMITED,Active,1993-12-14,1,true,,1,high,Resolved to Companies House,false
54,00e3fd54d419bb0181a259379a1b5bdc41caa338ac7499ae5c48825a713c0c01,Wishing Well (Residential),,,,,1,false,below_threshold,5,none,Unresolved,false
55,00e59f0bbbe40a4d0319d222f8a1c093e36d6bc1ac994413dcf417675f8886dd,Greenfields,,,,,1,false,below_threshold,5,none,Unresolved,false
56,00eda199177fc1f8c03e7fcb9be58626b4ca8f302d3bcab68116f87f7b442555,CAN-SURVIVE  UK,CE006965,CAN-SURVIVE  UK,Active,2016-03-18,1,true,,2,high,Resolved to Companies House,false
57,00f9b14d42cbfd4b66bd76d0007d29e1ae15abdb129332dd9ff09299eb0734a3,GOWLING WLG (UK) LLP (PO),,,,,1,false,below_threshold,5,none,Unresolved,false
58,00fc6ccc30a1b98e4da7d8e8076353e7615daa47f40b5c99884601ce59e3cac9,RG KELLOW LTD,06213969,RG KELLOW LTD,Active,2007-04-16,1,true,,1,high,Resolved to Companies House,false
59,01059ca69c14f63a70fc8c40efb50b33a1b6a6f3da252eddc6f49bd699783ca5,PHOENIX COMMUNITY CARE LIMITED,03798480,PHOENIX COMMUNITY CARE LIMITED,Active,1999-06-30,1,true,,2,high,Resolved to Companies House,false
60,0110599535c59cee4f57d809bf5bfa760f4280ed85898244f277536f9b6ba472,PCC FOR HERTFORDSHIRE,,,,,1,false,no_match,5,none,Unresolved,false
61,011241758068fbea55f0a53d5dbbd7d733bdceed1402b303cf2fe11cd5a46d69,DIAL ELECTRICAL SERVICES LIMITED,05147843,DIAL ELECTRICAL SERVICES LIMITED,Active,2004-06-08,1,true,,2,high,Resolved to Companies House,false
62,011bdffd7758685b2b10dc09ca0c704ebf7c5132049b6697de2ca708602f9422,OPIA LIMITED,06021170,OPIA LIMITED,Active,2006-12-06,1,true,,2,high,Resolved to Companies House,false
63,012320bf2ccd9d4c71b234271384a1f943076ffce54e75639ce3783fcb43c861,CATCH 22 CHARITY LIMITED,06577534,CATCH 22 CHARITY LIMITED,Active,2008-04-28,1,true,,2,high,Resolved to Companies House,false
64,0128ce2a3dd25574a57306ec2115a30faeff92163ab94c55dc16abaec7f7ce4b,XL CARE SERVICES LIMITED,12551767,XL CARE SERVICES LIMITED,Active,2020-04-08,1,true,,2,high,Resolved to Companies House,false
65,013b77fdfd3c4fad313bfea4f2ac05f5bffb7db288324115d6ae344c434bea75,M&S Law Ltd Client Account,,,,,1,false,below_threshold,5,none,Unresolved,false
66,013c634caa3a549c5ed749a6fdfef95ec286f08d812c805dfd60a22face5a977,QUANTUM VANTAGE LTD.,10105478,QUANTUM VANTAGE LTD.,Active,2016-04-06,1,true,,2,high,Resolved to Companies House,false
67,014442f35aa7605db6407398fe26c5b4781305cd0380631b2c4cdcd6f08a6e8c,Flu Xpress,,,,,1,false,review,4,review,Awaiting review,false
68,0146d30c8ac463eda4f7d413c6746ccceb30b150c18e1e9c5715871087c3dc23,CSE CROSSCOM LIMITED,02715533,CSE CROSSCOM LIMITED,Active,1992-05-18,1,true,,2,high,Resolved to Companies House,false
69,01544a000174fd63137d858450272070aed8ed0b8d004c7af577bf3c4a45488a,Sharedlives Plus,,,,,1,false,no_match,5,none,Unresolved,false
70,015d47080ccc8ee360fa373385aa18a6ae17420fea0f1247121f295b293cc35a,Leaders In Care Recruitment Ltd (3R Finance),,,,,1,false,below_threshold,5,none,Unresolved,false
71,0169c48a1749dfefbb35d59aad03da35f9e7ecff914b6baa0f8869e429e082cd,"J.C. PEACOCK & CO., LIMITED",SC025860,"J.C. PEACOCK & CO., LIMITED",Active,1947-11-03,1,true,,1,high,Resolved to Companies House,false
72,016eed3d3aa8520bebc9921dbfc8ffb7cc3a46dda099a82a6b02b058ffc3376d,Imayla,,,,,1,false,no_match,5,none,Unresolved,false
73,017896ee9c6d53328130f42f68d34432519c7871df7ec8ab796b3c1897188ff2,COHERENT CITIES LTD.,11832134,COHERENT CITIES LTD.,Active,2019-02-18,1,true,,2,high,Resolved to Companies House,false
74,017e17be056d1f03cebc14b5f28847e5af130aa9b7e9fff789aadd278de99a27,London Borough of Hammersmith & Ful,,,,,1,false,no_match,5,none,Unresolved,false
75,018256cb3575e122a8d0193f158fd8055e4515cc432281fd31946b13ccb4d9b3,Hill Barn Ltd,,,,,1,false,below_threshold,5,none,Unresolved,false
76,0183f9a1ad52e446a81f23c791aeec8a05159dbae92613e69f1f39e4a8e349eb,REETH & DISTRICT GAZETTE LTD,06541854,REETH & DISTRICT GAZETTE LTD,Active,2008-03-20,1,true,,2,high,Resolved to Companies House,false
77,01876ce6eead7894e6660ef52e54b4f83d5d6f0961b4869a3d0121679b7c50a7,St Augustine's PCC,,,,,1,false,below_threshold,5,none,Unresolved,false
78,0187bf3a021ce8360a0e1f1dc427600546e0e4c70b320dcd4e28e68a56e5d857,Newton Heath Eco Youth,,,,,1,false,no_match,5,none,Unresolved,false
79,018f6dab44069c40a066064b3f17ce22fc02528e3fdbbaecfddc414e8e22f9ca,Cartwright King Solicitors,,,,,1,false,review,4,review,Awaiting review,false
80,018f94968e0fdfd0a4a61fe4bf5b39fadff434fa91da45d240b5457c7ff86138,GXO LOGISTICS UK LIMITED,SC037270,GXO LOGISTICS UK LIMITED,Active,1962-02-15,1,true,,2,high,Resolved to Companies House,false
81,0191f51b263d3c266787b8735e068534f2a62225b30fd77b1a9432c1d8e40d38,HIGH NOON HOSPITALITY SERVICES LTD,12874167,HIGH NOON HOSPITALITY SERVICES LTD,Active,2020-09-11,1,true,,2,high,Resolved to Companies House,false
82,01a0c1ee94fc18efc827ec09577530c397c94bcc118d5b80a81a30f7c5f4a72b,VALORUM CARE LIMITED,10999448,VALORUM CARE LIMITED,Active,2017-10-06,1,true,,1,high,Resolved to Companies House,false
83,01a42bb0d332c13506a681e48d9be5d4d512d739c3ea1db7312ffb45db60d790,CITROEN AUTOMOBILES UK LTD,,,,,1,false,below_threshold,5,none,Unresolved,false
84,01a888c4c88cba1e36414698f3f665fc5bfce4673d7703a3af5eafec1fc3dc07,GROUP ANAESTHETIC SERVICES LLP,OC361133,GROUP ANAESTHETIC SERVICES LLP,Active,2011-01-25,1,true,,2,high,Resolved to Companies House,false
85,01afeed59a9eae39b0f7a455937575dd3b203ffebf26a01efb3f2c7a239cd35f,Liverpool University Hospitals,,,,,1,false,below_threshold,5,none,Unresolved,false
86,01c230e611f2d27533f84a22bba2d9cfd28f8d97bdd28fece384302e7bec0e01,IP Integration Limited,,,,,1,false,below_threshold,5,none,Unresolved,false
87,01c3962efa4c507dd68c242da425ff17f37e29321bc5b4ee05400e3c47f2c19e,BRISSCO (EQUIPMENT) LIMITED,00455916,BRISSCO (EQUIPMENT) LIMITED,Active,1948-06-23,1,true,,2,high,Resolved to Companies House,false
88,01c7f71a8702deeea132bbf868b0865d7662ce82b84f04963d1a3ce5725a9e60,TILBURY DOUGLAS CONSTRUCTION LIMITED,00303359,TILBURY DOUGLAS CONSTRUCTION LIMITED,Active,1935-07-24,1,true,,1,high,Resolved to Companies House,false
89,01cd936a8ea3027bff200ff606aea5b37475f752db0996e199ac7916bfc9b87b,SIMPSON MILLAR LLP,OC313936,SIMPSON MILLAR LLP,Active,2005-06-29,2,true,,2,high,Resolved to Companies House,false
90,01cdd121c4e8c8b1e6a16b324b04a60ebd16db5fb947882e6600409393d91875,WWW.PRCA.ORG.UK,,,,,1,false,below_threshold,5,none,Unresolved,false
91,01d5f92b70efb54cde989723335266c280cf405951a1037d96d2a8ed0a828034,RAIL SAFETY AND STANDARDS BOARD LIMITED,04655675,RAIL SAFETY AND STANDARDS BOARD LIMITED,Active,2003-02-04,1,true,,2,high,Resolved to Companies House,false
92,01d6fb1d91c032e1d43ef4e6e91897a46f830307c380d898a7f9f4081673f9af,AAT (GB) LIMITED,05009438,AAT (GB) LIMITED,Active,2004-01-08,1,true,,2,high,Resolved to Companies House,false
93,01dbef276d9f38b03c68812f6b26d0ee7c49cfe4576df33ce01176f6fe011af5,Devon & Somerset Fire & Rescue Authority,,,,,1,false,below_threshold,5,none,Unresolved,false
94,01def162bea237a37e5eb11bb02f1e494263f517a4914877f714e4eefad130c7,DELOITTE LLP LIMITED,,,,,1,false,no_match,5,none,Unresolved,false
95,01df49263b0f6af2f74c1ee6721f0eb3c3eefb8f54c43e9b2f393b7b8a69a225,ABP Marine Envronmental Research Ltd,,,,,1,false,below_threshold,5,none,Unresolved,false
96,01dffcc683662d18381ee8676f7abda6b6bfc93e3a02fa206998a08d4b667652,Bradshaw Lawnmover Engineers,,,,,1,false,no_match,5,none,Unresolved,false
97,01e5d0a95d0a636d443af7da091f4bc02d062d1e8187352f49ff4d157f09a7a7,POWTECHNOLOGY LIMITED,02549947,POWTECHNOLOGY LIMITED,Active,1990-10-18,1,true,,2,high,Resolved to Companies House,false
98,01ea5340f3f33fda585d06c6d44cf1502bdf3ec0b9bac1306a2f2fa355cd0564,POLLOCK LIFTS LIMITED,NI018971,POLLOCK LIFTS LIMITED,Active,1985-11-27,1,true,,2,high,Resolved to Companies House,false
99,01ea9907f492899147b96a1a7e8b50500500020defdd732a9de3a547cce5758e,BARNES SOLICITORS LLP,OC428641,BARNES SOLICITORS LLP,Active,2019-08-29,1,true,,2,high,Resolved to Companies House,false
100,01ee7e37fa0473fad63c090df5806d5fbde5ea14235d3b4d230e22fea21aadd9,GRANDPARENTS PLUS,04454103,GRANDPARENTS PLUS,Active,2002-06-05,1,true,,2,high,Resolved to Companies House,false
101,01f99cbe5c65caef0358ee5cd7a40ca90785818cc59e4a38304023ea09965626,K.P.WILTON & SON LIMITED,00803526,K.P.WILTON & SON LIMITED,Active,1964-05-01,1,true,,2,high,Resolved to Companies House,false
102,01fd0e3c005b56d23d4a0cc08638741e7b5a85e66ba0877d4c0ec64187fc9ae3,THE ETHICAL FOSTERING SERVICE LIMITED,11057663,THE ETHICAL FOSTERING SERVICE LIMITED,Active,2017-11-10,1,true,,2,high,Resolved to Companies House,false
103,020810750eb591b236e1958396196a6f29a6c32d86d1ae7c6d04bc0b27232373,ONE MANCHESTER LIMITED,RS007018,ONE MANCHESTER LIMITED,Active,2014-10-06,1,true,,2,high,Resolved to Companies House,false
104,020899600f12c1c59e0e3b21636e9ddb19fbbc4623554ced22560770fcf98d7d,Individual — name withheld,,,,,1,false,below_threshold,5,none,Unresolved,true
105,020ad71965f2dc4a4c1e83abea7017393ed265fcef98433fb406da8c31ebd5ea,PROTEC FIRE DETECTION PUBLIC LIMITED COMPANY,01170489,PROTEC FIRE DETECTION PUBLIC LIMITED COMPANY,Active,1974-05-16,1,true,,2,high,Resolved to Companies House,false
106,020fb7b02724f5a43c15ec72862b7974fd1844f90eb3e6265e93fdbb81e07435,EUROPIA,CE004005,EUROPIA,Active,2015-04-28,1,true,,2,high,Resolved to Companies House,false
107,02107951ef3ba4bfa889e43f7288e10b0a0d41a67bf72b62ed70e3aca7474e2b,BLOOMBERG LP,,,,,1,false,ambiguous,5,none,Unresolved,false
108,0217a515f866b435a7a1ef7069436c3a36a18b309d283a76ea924289d7cb9fdf,Harcourt Gardens Care Home,,,,,1,false,below_threshold,5,none,Unresolved,false
109,0219abfddf6a5252bd06e1de00ccb97b6426f4f7af0d3434c0c205e60c8da4b6,BLUE BORDER LTD,09864062,BLUE BORDER LTD,Active,2015-11-09,1,true,,2,high,Resolved to Companies House,false
110,0219d63cb4d1d53f27569f14d4c5203be1faf355ba8737a7edbf449d9260bedb,BRISTOL WOMEN IN BUSINESS CIC,12516760,BRISTOL WOMEN IN BUSINESS CIC,Active,2020-03-13,1,true,,2,high,Resolved to Companies House,false
111,0220e26b5d681d298d4198e94db336e4de9b80bb19b0b3cf4aeaff3afc613cb8,TEES VALLEY COMBINED AUTHORITY,,,,,1,false,no_match,5,none,Unresolved,false
112,02266da5562f060316227eb23c4567d7e245ec9ad62d05b3f68bd7e20f257d17,ECD ARCHITECTS LTD,03028104,ECD ARCHITECTS LTD,Active,1995-03-01,1,true,,2,high,Resolved to Companies House,false
113,022ddd0244da1d58b6fa31315c7ac30ff3498954d40b0fa694a6ca17aa979fdd,Individual — name withheld,,,,,1,false,no_match,5,none,Unresolved,true
114,0234211512ace00d9d6256f9a935864700739aec29c080e66501febbdd85df04,Assoc of Directors of Childrens Svs,,,,,1,false,no_match,5,none,Unresolved,false
115,02363a9bfcffa91d4cb8c80220cd3b66ebec4831475c39421e263153f6de7b29,The Invisible Circus C.I.C,,,,,1,false,below_threshold,5,none,Unresolved,false
116,023c441f662563b9908e360ebb2a81a18a0a842e5b141652d58242ea758edee0,PAMTRAD CUSTOMS LIMITED,05077465,PAMTRAD CUSTOMS LIMITED,Active,2004-03-18,1,true,,2,high,Resolved to Companies House,false
117,023d55ebca1f69957367921196d6d888f55ad46ff9a1293872d7fd13e797e866,EGRESS SOFTWARE TECHNOLOGIES LIMITED,06393598,EGRESS SOFTWARE TECHNOLOGIES LIMITED,Active,2007-10-09,2,true,,1,high,Resolved to Companies House,false
118,023df7c63b006271ff1b91ab15e33d86222c406e2cbac070a5517e82d916c4d1,Satchell Moran Solicitors Limite,,,,,1,false,below_threshold,5,none,Unresolved,false
119,023e6fb455ffcb40c014f077d03d5c92f074013daae947f1e972a32efa8de68d,"EGAN,REID STATIONERY CO.LIMITED",00593651,"EGAN,REID STATIONERY CO.LIMITED",Active,1957-11-14,1,true,,2,high,Resolved to Companies House,false
120,0244f26fb6384165155366e09e1517af2a44eaf034a07a636f9a9ba0b08f7613,Up & Over Doors Bristol,,,,,1,false,below_threshold,5,none,Unresolved,false
121,024adc2b7862b01b242e9b0cff591d5ab7f07da809cb0a3039bdaf726c66aa9f,Chevron Traffic Management,,,,,1,false,review,4,review,Awaiting review,false
122,024ea3b6c501f16f8eb9eff0cb290d545766f8dd42c37051dc0d317664dbe0d6,ROVA EDITIONS LTD,14242815,ROVA EDITIONS LTD,Active,2022-07-19,1,true,,2,high,Resolved to Companies House,false
123,024f3cbc0ec8f87ee9bdaa5060c843f347d47cdf7b08fe76cecad04d4b496c70,JONES MYERS LTD,09321172,JONES MYERS LTD,Active,2014-11-20,1,true,,2,high,Resolved to Companies House,false
124,02607a9e7bc8f1481d8bdbe4c0684bc648fceeec7397be99feb19bf81ba20588,Inclusion Housing CIC,,,,,1,false,below_threshold,5,none,Unresolved,false
125,026207737b0da665b3f2601a126d39bd3f5bf66ac0da708493fb6e011b89bc85,THE SAFETY COMPANY (UK) LTD.,04148328,THE SAFETY COMPANY (UK) LTD.,Active,2001-01-26,1,true,,2,high,Resolved to Companies House,false
126,026e062637ff89ca21783ccf1ac37ba0b12aba48d1d8814bca9223e23f099a26,Humphreys & Co,,,,,1,false,below_threshold,5,none,Unresolved,false
127,026e539a2375d267115163b4c76a375457853a3e1cc23f66980e3497987a3bd4,WILLOWBECK HEALTH CARE LIMITED,05772982,WILLOWBECK HEALTH CARE LIMITED,Active,2006-04-06,1,true,,2,high,Resolved to Companies House,false
128,026ebc0f8ac20c419082343ce431aeb6fa68c592b309fa41de1f4b055b7d1119,WELFARE BENEFITS UNIT,CE005527,WELFARE BENEFITS UNIT,Active,2015-11-02,1,true,,2,high,Resolved to Companies House,false
129,0272785c1c8dacd7f7ee40e19756d1e85d8a4fefe4bd9333b036ab4b68f3bd83,Lime Tree Primary School,,,,,1,false,below_threshold,5,none,Unresolved,false
130,0277a6f68b2abc8314af08c13934191ebbfa0e23b33eb1aa9b3d2f2f452b567e,LOGAN CONSTRUCTION SE LTD,,,,,1,false,ambiguous,5,none,Unresolved,false
131,027cad580fdd2e30375cecccb23c6460613d2bae4e60f7c3ad4cbd7cbe6643af,HIREQUIREMENTS LIMITED,01067979,HIREQUIREMENTS LIMITED,Active,1972-08-25,1,true,,2,high,Resolved to Companies House,false
132,027d5f78308560f32dd2f2c350a6c5e2c1a320364470aec3d587904066c06038,COMENSURA LIMITED,04085767,COMENSURA LIMITED,Active,2000-10-09,2,true,,1,high,Resolved to Companies House,false
133,0282635000b2eafb4b795681751a0e0d354da30a6fe2c1b74484d0c011b6d5d5,SUTCLIFFE PLAY (SOUTH WEST) LIMITED,04780910,SUTCLIFFE PLAY (SOUTH WEST) LIMITED,Active,2003-05-29,1,true,,2,high,Resolved to Companies House,false
134,0284ff3c527f91fef99798f6f4d19fd76d6f476e3f405c878c8bc1aac247fa99,ATOS IT SERVICES UK LIMITED,01245534,ATOS IT SERVICES UK LIMITED,Active,1976-02-23,3,true,,1,high,Resolved to Companies House,false
135,02851aab1c5ce89c13c9701e24d4c6fc1015bdbaa3dd089a3fe4b8a233ab02bf,SOFTCAT PLC,02174990,SOFTCAT PLC,Active,1987-10-07,6,true,,2,high,Resolved to Companies House,false
136,0292f1a54abdd63b2ac2e69b91c6363099a256732a6fa5835aeb708811434099,Leeds Beckett University,,,,,1,false,ambiguous,5,none,Unresolved,false
